08 30 21.19 +45 08 51.83 43860  07 1 1
08 30 28.38 +44 22 51.74 43755  07 1 1
08 30 35.32 +44 25 20.39 43762  07 1 1
08 30 41.33 +44 59 38.29 43470  45 1 1
08 30 43.82 +47 24 45.97 37725  08 1 1
08 30 44.08 +46 32 27.02 37985  10 1 2
08 30 45.41 +44 18 33.59 43364  11 1 1
08 30 50.08 +46 12 54.22 38685  06 1 1
08 31 13.17 +47 14 16.73 38019  07 1 2
08 31 29.45 +46 22 38.96 38241  07 1 1
08 31 41.93 +46 07 32.02 37997  06 1 1
08 31 56.52 +47 01 26.04 37955  09 1 2
08 32 45.48 +44 12 43.74 43636  10 1 1
08 32 48.79 +47 33 20.99 37785  07 1 1
08 32 54.66 +44 06 13.39 43446  10 1 1
08 33 00.10 +44 10 38.57 43642  08 1 1
08 33 55.65 +44 19 31.58 43864  06 1 1
08 36 46.86 +15 12 59.04 83774 363 1 1
08 37 22.43 +14 55 30.47 83306  48 1 1
08 37 24.71 +14 58 19.81 83354  54 1 1
08 37 30.06 +15 05 07.94 83567  51 1 1
08 39 28.39 +14 56 02.08 83732  45 1 1
08 42 19.72 +36 16 40.87 84472  48 1 1
08 42 39.74 +36 21 09.36 82614  51 1 1
08 42 57.56 +36 21 59.26 84619  57 1 1
08 43 09.99 +36 09 04.39 83348  51 1 1
09 08 11.07 +10 54 08.32 48689  45 1 1
09 08 28.92 +10 57 55.94 48407  57 1 1
09 08 37.47 +10 59 53.20 48758  57 1 1
09 08 44.24 +11 04 05.09 53642  45 1 1
09 08 52.19 +11 01 35.36 49127  57 1 1
09 08 59.22 +10 58 15.56 50101  48 1 1
09 09 00.20 +10 51 25.99 48800  36 1 1
09 09 00.43 +10 59 34.87 48677 336 1 1
09 09 03.41 +11 02 51.40 49079  51 1 1
09 09 08.23 +11 02 42.07 47964  42 1 1
09 09 08.52 +10 54 23.40 50242  42 1 1
09 09 10.09 +10 45 50.22 52092  45 1 1
09 09 11.68 +11 04 43.61 52284  45 1 1
09 09 11.77 +11 00 04.14 53045  57 1 1
09 09 17.61 +11 04 12.65 49322  51 1 1
09 09 18.29 +10 43 58.87 49226  45 1 1
09 09 19.06 +10 59 08.52 54038  57 1 1
09 09 19.70 +11 01 42.92 47241  45 1 1
09 09 23.34 +10 44 39.70 52479  51 1 1
09 09 23.36 +10 56 01.54 50239  57 1 1
09 09 23.95 +11 03 01.15 49364  51 1 1
09 09 25.28 +11 01 33.89 49768  51 1 1
09 09 26.19 +10 57 45.97 49010  30 1 1
09 09 29.75 +10 49 34.14 49490  48 1 1
09 09 30.60 +10 57 04.14 48755  48 1 1
09 09 35.50 +10 52 10.52 49619 222 1 1
09 09 48.61 +10 56 34.37 49259 291 1 1
09 10 03.62 +11 02 33.61 48824  54 1 1
09 10 04.49 +10 57 02.81 48629  39 1 1
09 10 10.93 +10 57 02.95 49499  51 1 1
09 10 11.79 +11 01 26.29 48665  36 1 1
09 10 13.29 +10 48 54.72 49855  60 1 1
09 10 13.66 +10 53 18.31 49139  33 1 1
09 10 18.91 +10 51 56.63 48662  48 1 1
09 10 19.15 +10 39 20.12 48686  51 1 1
09 10 28.44 +11 01 18.30 48995  36 1 1
09 10 28.52 +10 45 21.56 52697  48 1 1
09 10 45.83 +10 58 20.86 52772  57 1 1
09 10 52.28 +11 20 49.92 49493  04 1 1
09 11 13.74 +11 08 48.95 48912  10 1 1
09 15 13.02 +51 37 17.26 65319  39 1 1
09 16 16.57 +51 45 29.30 66017  42 1 1
09 17 53.50 +51 44 01.32 67450  57 1 1
09 17 55.41 +51 42 58.72 66506  54 1 1
09 18 04.57 +51 43 44.62 67579  48 1 1
